wrd	len	exembed	embed	nbs	matN	adds	dels	subs	rhy1	rhy2	cohEmb	cohs	cohshort	cohlong	cohsame	peakAcc	peakRt	DiffAcc	DiffRt	cdiffAcc	cdiffRt	abzAcc	abzRt
list	4	0	1	2	matN	0	1	1	3	7	cohEmb	4	0	1	0	1	99	1	34	1	28	1	60
lup	3	0	0	2	matN	0	0	2	2	20	cohEmb	1	0	0	1	1	99	1	28	1	23	1	58
lus	3	0	0	1	matN	0	0	1	1	9	cohEmb	1	0	0	1	1	99	1	28	1	23	1	57
lxk	3	2	1	6	matN	1	0	5	5	21	cohEmb	2	0	2	0	1	99	1	28	1	13	1	65
lxkhxri	7	0	2	0	matN	0	0	0	0	0	cohEmb	2	2	0	0	1	99	1	70	1	68	1	71
lxki	4	0	3	1	matN	0	1	0	0	1	cohEmb	2	0	1	0	1	99	1	50	1	44	1	56
pakxt	5	0	2	1	matN	0	0	1	1	2	cohEmb	12	3	5	1	1	99	1	45	1	41	0	NA
palxsi	6	0	3	0	matN	0	0	0	0	0	cohEmb	12	6	2	2	1	99	1	54	1	47	0	NA
pap	3	1	0	7	matN	1	0	6	6	20	cohEmb	12	0	10	2	1	99	1	28	1	13	1	85
papx	4	0	2	1	matN	0	1	0	0	0	cohEmb	12	0	7	2	1	99	1	58	1	47	1	64
par	3	7	1	10	matN	2	1	7	7	7	cohEmb	12	0	10	2	1	99	1	29	1	24	0	NA
parhxl	6	0	3	0	matN	0	0	0	0	0	cohEmb	12	6	2	2	1	99	1	63	1	60	1	66
park	4	1	3	6	matN	1	2	3	4	4	cohEmb	12	0	7	2	1	99	1	53	1	46	1	68
part	4	3	3	8	matN	2	3	3	4	4	cohEmb	12	0	7	2	1	99	1	54	1	47	1	79
parti	5	0	5	2	matN	1	1	0	0	0	cohEmb	12	3	5	1	1	99	1	84	1	75	1	89
partli	6	0	4	1	matN	0	1	0	0	0	cohEmb	12	6	2	2	0	NA	0	NA	0	NA	0	NA
pasxbli	7	0	1	0	matN	0	0	0	0	0	cohEmb	12	8	0	1	1	99	1	76	1	71	0	NA
pasxbxl	7	0	1	0	matN	0	0	0	0	0	cohEmb	12	8	0	1	1	99	1	54	1	47	0	NA
pat	3	1	0	10	matN	3	0	7	8	47	cohEmb	12	0	10	2	1	99	1	47	1	23	0	NA
pi	2	8	0	9	matN	2	0	7	27	2	cohEmb	3	0	3	0	1	99	1	27	1	12	0	NA
pik	3	1	1	4	matN	1	1	2	4	21	cohEmb	3	0	1	1	1	99	1	35	1	29	1	67
pipxl	5	0	2	0	matN	0	0	0	0	1	cohEmb	3	3	0	0	1	99	1	49	1	46	1	65
pis	3	0	1	3	matN	0	1	2	2	9	cohEmb	3	0	1	1	1	99	1	36	1	29	1	75
plat	4	0	1	3	matN	0	2	1	2	8	cohEmb	2	0	0	2	1	99	1	35	1	29	1	51
plxg	4	0	1	2	matN	0	0	2	1	3	cohEmb	2	0	0	2	1	99	1	37	1	29	1	50
plxs	4	0	2	1	matN	0	0	1	0	3	cohEmb	2	0	0	2	1	99	1	39	1	34	1	53
prabxbli	8	0	2	0	matN	0	0	0	0	0	cohEmb	5	2	0	1	0	NA	0	NA	0	NA	0	NA
prabxbxl	8	0	3	0	matN	0	0	0	0	0	cohEmb	5	2	0	1	1	99	1	74	1	66	1	85
pradus	6	0	3	0	matN	0	0	0	0	0	cohEmb	5	0	4	0	1	99	1	50	1	46	1	57
pradxkt	7	0	4	0	matN	0	0	0	0	0	cohEmb	5	1	2	1	1	99	1	64	1	61	1	72
pragrxs	7	0	2	0	matN	0	0	0	0	0	cohEmb	5	1	2	1	1	99	1	60	1	55	1	62
prist	5	0	1	0	matN	0	0	0	0	3	cohEmb	5	0	5	0	1	99	1	36	1	28	1	52
pul	3	0	0	3	matN	0	0	3	4	28	cohEmb	0	0	0	0	1	99	1	23	1	12	1	50
pxlis	5	0	1	0	matN	0	0	0	0	0	cohEmb	1	1	0	0	1	99	1	49	1	42	1	59
pxt	3	1	1	4	matN	0	0	4	8	47	cohEmb	1	0	1	0	1	99	1	26	1	14	1	56
rab	3	2	0	4	matN	0	0	4	1	4	cohEmb	3	0	1	2	1	99	1	28	1	14	1	57
rad	3	2	1	5	matN	0	1	4	2	18	cohEmb	3	0	1	2	1	99	1	28	1	23	1	70
rak	3	1	0	4	matN	0	0	4	5	21	cohEmb	3	0	1	2	1	99	1	29	1	23	1	70
rakxt	5	0	3	1	matN	0	0	1	1	2	cohEmb	3	3	0	0	1	99	1	56	1	52	1	61
rid	3	1	0	6	matN	1	0	5	7	18	cohEmb	2	0	1	1	1	99	1	30	1	22	1	77
ril	3	1	0	6	matN	1	0	5	4	28	cohEmb	2	0	1	1	1	99	1	31	1	22	1	69
rili	4	0	1	1	matN	0	1	0	0	5	cohEmb	2	0	0	0	1	99	0	NA	1	59	1	76
rul	3	1	0	5	matN	0	0	5	4	28	cohEmb	2	0	1	1	1	99	1	28	1	12	1	66
rupi	4	0	1	0	matN	0	0	0	0	2	cohEmb	2	0	0	0	1	99	1	37	1	28	1	55
rut	3	0	0	4	matN	0	0	4	4	47	cohEmb	2	0	1	1	1	99	1	29	1	23	1	70
rxb	3	1	1	2	matN	0	0	2	1	4	cohEmb	3	0	2	1	1	99	1	27	1	19	1	53
rxgxd	5	0	1	0	matN	0	0	0	0	0	cohEmb	3	2	0	1	1	99	1	51	1	46	1	63
rxh	3	2	1	3	matN	2	0	1	2	2	cohEmb	3	0	2	1	1	99	1	28	1	23	1	80
rxsxl	5	0	2	0	matN	0	0	0	0	0	cohEmb	3	2	0	1	1	99	1	43	1	33	1	59
salxd	5	0	1	0	matN	0	0	0	0	1	cohEmb	1	0	0	0	1	99	1	31	1	24	1	48
sari	4	0	1	0	matN	0	0	0	0	3	cohEmb	1	0	1	0	1	99	1	38	1	32	1	51
si	2	8	0	16	matN	5	0	11	27	1	cohEmb	6	0	6	0	1	99	1	29	1	13	0	NA
sid	3	1	1	9	matN	1	1	7	7	18	cohEmb	6	0	1	4	1	99	1	37	1	29	1	84
sik	3	1	1	8	matN	1	1	6	4	21	cohEmb	6	0	1	4	1	99	1	37	1	30	0	NA
sikrxt	6	0	3	0	matN	0	0	0	0	0	cohEmb	6	6	0	0	1	99	1	74	1	71	1	81
sil	3	0	1	8	matN	1	1	6	4	28	cohEmb	6	0	1	4	1	99	1	37	1	30	1	97
