Target	Single_Phone	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
S^t	r	0.0	0.0	0.0	0.00018000005	0.0005181506	0.00091804075	0.0012694634	0.0014748815	0.0014587041	0.0013126226	0.0011807298	0.0010616409	0.0009541334	0.00085781125	0.0007716293	0.0006944089	0.00092523475	0.0015200225	0.0024388519	0.003626785	0.0050273607	0.0065929852	0.008281237	0.009086415	0.008176347	0.0073377807	0.0065653464	0.005855389	0.005205317	0.004612863	0.0040755277	0.0035905452	0.0031548599	0.0027651747	0.0024180645	0.0021100568	0.0018377062	0.0015976593	0.0013867054	0.0012018135	0.0010401566	0.0008991204	0.0007763166	0.0006695806	0.0005769624	0.00049671537	0.0004272821	0.00036727937	0.00031548488	0.00027082223	0.0002323461	0.00019922854	0.00017074619	0.00014626837	0.00012524633	0.00010720346	9.172647e-05	7.8457495e-05	6.708708e-05	5.7347967e-05	4.900959e-05	4.187323e-05	3.576778e-05	3.0546038e-05	2.6081452e-05	2.2265313e-05	1.900429e-05	1.621831e-05	1.3838706e-05	1.1806626e-05	1.0071654e-05	8.590617e-06	7.326558e-06	6.247858e-06	5.3274684e-06	4.5422616e-06	3.8724656e-06	3.3011836e-06	2.8139787e-06	2.3985187e-06	2.0442717e-06	1.742245e-06	1.4847615e-06	1.2652682e-06	1.0781731e-06	9.187045e-07	7.827911e-07	6.669602e-07	5.682495e-07	4.8413267e-07	4.1245528e-07	3.5138035e-07	2.9934156e-07	2.550036e-07	2.1722819e-07	1.8504497e-07	1.5762686e-07	1.3426897e-07	1.1437055e-07	9.7419594e-08
S^t	s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S^t	t	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09138772	0.16520184	0.22610039	0.27770182	0.3221527	0.36084086	0.39472383	0.42445832	0.4505386	0.4733892	0.49337924	0.510838	0.52606136	0.53931975	0.5508589	0.5609004	0.56964207	0.5772593	0.58390605	0.5897168	0.594811	0.59929115	0.6032437	0.6067419	0.6098478	0.61261415	0.6150872	0.61730576	0.6193023	0.6211045	0.6227358	0.6242163	0.6255634	0.6267917	0.62791425	0.62894213	0.6298852	0.63075185	0.63154966	0.6322852	0.63296425	0.6335921	0.6341733	0.63471186	0.63521147	0.63567543	0.6361066	0.6365077	0.6368811	0.637229	0.63755333	0.6378559	0.63813823	0.63840187	0.6386482	0.63887846	0.63909376	0.6392951	0.6394836	0.63965994	0.63982505	0.63997966	0.6401245	0.6402602	0.64038736	0.64050657	0.64061826	0.640723	0.64082116	0.6409132	0.64099956	0.6410805	0.6411564	0.6412276	0.64129436	0.64135695	0.6414157	0.6414708	0.64152247
S^t	u	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sak	S	0.0	0.1	0.18	0.2452546	0.29901484	0.34350553	0.38038024	0.41094068	0.436248	0.457183	0.4744829	0.48876607	0.5005545	0.51074195	0.51969606	0.5275333	0.53439456	0.54042184	0.545738	0.5504482	0.5546535	0.5584312	0.56184	0.5648268	0.56725836	0.56915295	0.57058495	0.57163936	0.5723819	0.572876	0.573178	0.57333493	0.5733842	0.5733556	0.573282	0.57319236	0.57310534	0.5730338	0.5729821	0.5729518	0.5729442	0.57295793	0.57299066	0.5730405	0.57310367	0.5731766	0.5732566	0.5733416	0.5734301	0.57352096	0.57361317	0.573706	0.5737987	0.5738908	0.5739819	0.57407147	0.57415926	0.5742444	0.57432604	0.57440364	0.57447684	0.57454556	0.57460976	0.5746696	0.57472515	0.57477665	0.5748242	0.5748681	0.5749085	0.5749456	0.5749795	0.5750098	0.57503664	0.57506	0.5750801	0.5750971	0.5751112	0.57512265	0.57513165	0.57513845	0.57514334	0.57514644	0.575148	0.5751482	0.5751473	0.5751453	0.57514244	0.57513887	0.57513475	0.57513016	0.57512516	0.57512	0.5751146	0.5751091	0.57510364	0.5750982	0.57509303	0.57508814	0.57508355	0.5750794
Sak	^	0.0	0.0	0.0	0.0001800001	0.00052564184	0.00095039944	0.0013537641	0.001646524	0.0017596132	0.0016451464	0.0014802914	0.0013315015	0.0011972318	0.001075451	0.0009644891	0.00086305186	0.0007704154	0.0006860695	0.0006095488	0.0005403877	0.00047809436	0.0004221745	0.00037213886	0.00032723264	0.0002868573	0.00025066012	0.00021836661	0.00018970134	0.0001643753	0.00014210012	0.00012258999	0.00010556584	9.076043e-05	7.792269e-05	6.6818786e-05	5.7235346e-05	4.897984e-05	4.188028e-05	3.57835e-05	3.0554456e-05	2.60747e-05	2.2240583e-05	1.896184e-05	1.6160151e-05	1.3767641e-05	1.1725697e-05	9.983837e-06	8.498639e-06	7.2327994e-06	6.154312e-06	5.2357436e-06	4.4536055e-06	3.7878026e-06	3.2211578e-06	2.7389988e-06	2.3288003e-06	1.9798763e-06	1.6831112e-06	1.4307354e-06	1.2161308e-06	1.0336612e-06	8.785275e-07	7.466444e-07	6.345349e-07	5.3924015e-07	4.582427e-07	3.8940098e-07	3.308933e-07	2.8117034e-07	2.389147e-07	2.0300591e-07	1.7249134e-07	1.4656123e-07	1.2452732e-07	1.05804524e-07	8.989559e-08	7.637788e-08	6.4892156e-08	5.513313e-08	4.6841336e-08	3.9796284e-08	3.3810586e-08	2.8725008e-08	2.4404239e-08	2.0733292e-08	1.7614465e-08	1.4964737e-08	1.2713567e-08	1.0801017e-08	9.176161e-09	7.795729e-09	6.6229577e-09	5.626611e-09	4.7801514e-09	4.0610315e-09	3.4500955e-09	2.9310687e-09	2.4901246e-09	2.1155164e-09	1.7972649e-09
Sak	a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09678423	0.17429614	0.23721963	0.28909314	0.3325565	0.3692822	0.4004308	0.42689785	0.4494158	0.46860617	0.48499954	0.49903733	0.51163936	0.52347213	0.53468275	0.5452063	0.55497134	0.56395113	0.57212824	0.579506	0.5861082	0.5919733	0.59715056	0.601706	0.605707	0.6092175	0.61229455	0.6149949	0.6173655	0.6194465	0.6212756	0.6228857	0.62430453	0.62555844	0.6266703	0.6276588	0.62853944	0.6293254	0.6300277	0.63065624	0.63121927	0.6317243	0.6321777	0.6325854	0.63295233	0.6332829	0.63358176	0.6338532	0.6341006	0.6343267	0.63453376	0.63472366	0.63489807	0.63505834	0.63520575	0.63534135	0.6354662	0.6355812	0.6356871	0.63578504	0.6358761	0.6359612	0.6360408	0.63611543	0.6361855	0.63625133	0.63631296	0.63637084	0.6364251	0.63647586	0.63652337	0.63656783	0.6366093	0.63664806	0.6366842	0.6367178	0.6367491	0.6367781	0.63680506	0.63683003	0.63685316	0.63687456	0.63689435	0.63691247	0.6369291	0.6369443	0.6369581	0.63697064	0.6369819
Sak	b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sak	d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sak	g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
