Feedback_Excitation	Feedback_Inhibition	Continuum_Step	bus_Size	rush_Size	Avg_Size
0.02	-0.03	1	0.0	0.0	0.0
0.02	-0.03	2	0.0	0.0	0.0
0.02	-0.03	3	0.00688082	0.016602278	0.011741549
0.02	-0.03	4	0.0	0.0	0.0
0.02	-0.03	5	0.0	0.0	0.0
0.02	-0.03	6	0.0	0.0	0.0
0.02	-0.02	0	0.0	0.0	0.0
0.02	-0.02	1	0.0	0.0	0.0
0.02	-0.02	2	0.0	0.0	0.0
0.02	-0.02	3	0.0052922964	0.012595683	0.00894399
0.02	-0.02	4	0.0	0.0	0.0
0.02	-0.02	5	0.0	0.0	0.0
0.02	-0.02	6	0.0	0.0	0.0
0.02	-0.01	0	0.0	0.0	0.0
0.02	-0.01	1	0.016951865	0.0	0.008475932
0.02	-0.01	2	0.053664055	0.0	0.026832027
0.02	-0.01	3	0.0038152933	0.009266913	0.006541103
0.02	-0.01	4	0.0	0.06447835	0.032239176
0.02	-0.01	5	0.0	0.03278892	0.01639446
0.02	-0.01	6	0.0	0.0	0.0
0.02	0.0	0	0.09969997	-0.032672048	0.03351396
0.02	0.0	1	0.10943883	-0.06908101	0.02017891
0.02	0.0	2	0.12940256	-0.08638179	0.021510385
0.02	0.0	3	0.005262375	0.009636611	0.007449493
0.02	0.0	4	-0.092717886	0.13397142	0.020626768
0.02	0.0	5	-0.07827103	0.11508693	0.018407948
0.02	0.0	6	-0.07021022	0.08458617	0.0071879774
0.03	-0.15	0	0.0	0.0	0.0
0.03	-0.15	1	0.0	0.0	0.0
0.03	-0.15	2	0.0	0.0	0.0
0.03	-0.15	3	0.048593163	0.13713786	0.09286551
0.03	-0.15	4	0.0	0.0	0.0
0.03	-0.15	5	0.0	0.0	0.0
0.03	-0.15	6	0.0	0.0	0.0
0.03	-0.14	0	0.0	0.0	0.0
0.03	-0.14	1	0.0	0.0	0.0
0.03	-0.14	2	0.0	0.0	0.0
0.03	-0.14	3	0.041118562	0.11834109	0.079729825
0.03	-0.14	4	0.0	0.0	0.0
0.03	-0.14	5	0.0	0.0	0.0
0.03	-0.14	6	0.0	0.0	0.0
0.03	-0.13	0	0.0	0.0	0.0
0.03	-0.13	1	0.0	0.0	0.0
0.03	-0.13	2	0.0	0.0	0.0
0.03	-0.13	3	0.035203576	0.10241997	0.068811774
0.03	-0.13	4	0.0	0.0	0.0
0.03	-0.13	5	0.0	0.0	0.0
0.03	-0.13	6	0.0	0.0	0.0
0.03	-0.12	0	0.0	0.0	0.0
0.03	-0.12	1	0.0	0.0	0.0
0.03	-0.12	2	0.0	0.0	0.0
0.03	-0.12	3	0.030409038	0.08871257	0.059560806
0.03	-0.12	4	0.0	0.0	0.0
0.03	-0.12	5	0.0	0.0	0.0
0.03	-0.12	6	0.0	0.0	0.0
0.03	-0.11	0	0.0	0.0	0.0
0.03	-0.11	1	0.0	0.0	0.0
0.03	-0.11	2	0.0	0.0	0.0
0.03	-0.11	3	0.026516795	0.0768331	0.051674947
0.03	-0.11	4	0.0	0.0	0.0
0.03	-0.11	5	0.0	0.0	0.0
0.03	-0.11	6	0.0	0.0	0.0
0.03	-0.1	0	0.0	0.0	0.0
0.03	-0.1	1	0.0	0.0	0.0
0.03	-0.1	2	0.0	0.0	0.0
0.03	-0.1	3	0.023222387	0.06644696	0.044834673
0.03	-0.1	4	0.0	0.0	0.0
0.03	-0.1	5	0.0	0.0	0.0
0.03	-0.1	6	0.0	0.0	0.0
0.03	-0.09	0	0.0	0.0	0.0
0.03	-0.09	1	0.0	0.0	0.0
0.03	-0.09	2	0.0	0.0	0.0
0.03	-0.09	3	0.020390987	0.057269603	0.038830295
0.03	-0.09	4	0.0	0.0	0.0
0.03	-0.09	5	0.0	0.0	0.0
0.03	-0.09	6	0.0	0.0	0.0
0.03	-0.08	0	0.0	0.0	0.0
0.03	-0.08	1	0.0	0.0	0.0
0.03	-0.08	2	0.0	0.0	0.0
0.03	-0.08	3	0.01795739	0.04914549	0.03355144
0.03	-0.08	4	0.0	0.0	0.0
0.03	-0.08	5	0.0	0.0	0.0
0.03	-0.08	6	0.0	0.0	0.0
0.03	-0.07	0	0.0	0.0	0.0
0.03	-0.07	1	0.0	0.0	0.0
0.03	-0.07	2	0.0	0.0	0.0
0.03	-0.07	3	0.015773475	0.04192573	0.028849602
0.03	-0.07	4	0.0	0.0	0.0
0.03	-0.07	5	0.0	0.0	0.0
0.03	-0.07	6	0.0	0.0	0.0
0.03	-0.06	0	0.0	0.0	0.0
0.03	-0.06	1	0.0	0.0	0.0
0.03	-0.06	2	0.0	0.0	0.0
0.03	-0.06	3	0.01370573	0.035489112	0.024597421
0.03	-0.06	4	0.0	0.0	0.0
0.03	-0.06	5	0.0	0.0	0.0
0.03	-0.06	6	0.0	0.0	0.0
0.03	-0.05	0	0.0	0.0	0.0
0.03	-0.05	1	0.0	0.0	0.0
0.03	-0.05	2	0.0	0.0	0.0
0.03	-0.05	3	0.011772454	0.029735833	0.020754144
0.03	-0.05	4	0.0	0.0	0.0
0.03	-0.05	5	0.0	0.0	0.0
0.03	-0.05	6	0.0	0.0	0.0
0.03	-0.04	0	0.0	0.0	0.0
0.03	-0.04	1	0.0	0.0	0.0
0.03	-0.04	2	0.0	0.0	0.0
0.03	-0.04	3	0.0099563	0.024585217	0.017270759
0.03	-0.04	4	0.0	0.0	0.0
0.03	-0.04	5	0.0	0.0	0.0
0.03	-0.04	6	0.0	0.0	0.0
0.03	-0.03	0	0.0	0.0	0.0
0.03	-0.03	1	0.0	0.0	0.0
0.03	-0.03	2	0.0	0.0	0.0
0.03	-0.03	3	0.008223593	0.01994288	0.014083236
0.03	-0.03	4	0.0	0.0	0.0
0.03	-0.03	5	0.0	0.0	0.0
0.03	-0.03	6	0.0	0.0	0.0
0.03	-0.02	0	0.0	0.0	0.0
0.03	-0.02	1	0.0	0.0	0.0
0.03	-0.02	2	0.029859036	0.0	0.014929518
0.03	-0.02	3	0.006584525	0.015749425	0.011166975
0.03	-0.02	4	0.0	0.05746326	0.02873163
0.03	-0.02	5	0.0	0.0068064523	0.0034032261
0.03	-0.02	6	0.0	0.0	0.0
0.03	-0.01	0	0.039938577	0.0	0.019969288
0.03	-0.01	1	0.06975277	0.0	0.034876384
0.03	-0.01	2	0.11406542	-0.0077341795	0.053165622
0.03	-0.01	3	0.005044341	0.015365124	0.010204732
0.03	-0.01	4	-0.020264208	0.12957682	0.054656304
0.03	-0.01	5	0.0	0.09168815	0.045844074
0.03	-0.01	6	0.0	0.02625768	0.01312884
0.03	0.0	0	0.14592616	-0.055121362	0.0454024
0.03	0.0	1	0.15599447	-0.10149306	0.027250707
0.03	0.0	2	0.18133841	-0.12622488	0.02755677
0.03	0.0	3	0.00803417	0.014034927	0.011034548
0.03	0.0	4	-0.1323731	0.1839899	0.025808401
0.03	0.0	5	-0.114613116	0.1601251	0.022755995
0.03	0.0	6	-0.104066074	0.11996033	0.007947128
0.04	-0.15	0	0.0	0.0	0.0
0.04	-0.15	1	0.0	0.0	0.0
0.04	-0.15	2	0.0	0.0	0.0
0.04	-0.15	3	0.05238551	0.14725879	0.09982215
0.04	-0.15	4	0.0	0.0	0.0
0.04	-0.15	5	0.0	0.0	0.0
0.04	-0.15	6	0.0	0.0	0.0
0.04	-0.14	0	0.0	0.0	0.0
0.04	-0.14	1	0.0	0.0	0.0
0.04	-0.14	2	0.0	0.0	0.0
0.04	-0.14	3	0.04423964	0.12707302	0.08565633
0.04	-0.14	4	0.0	0.0	0.0
0.04	-0.14	5	0.0	0.0	0.0
0.04	-0.14	6	0.0	0.0	0.0
0.04	-0.13	0	0.0	0.0	0.0
0.04	-0.13	1	0.0	0.0	0.0
0.04	-0.13	2	0.0	0.0	0.0
0.04	-0.13	3	0.037838697	0.110090524	0.07396461
0.04	-0.13	4	0.0	0.0	0.0
0.04	-0.13	5	0.0	0.0	0.0
0.04	-0.13	6	0.0	0.0	0.0
0.04	-0.12	0	0.0	0.0	0.0
0.04	-0.12	1	0.0	0.0	0.0
0.04	-0.12	2	0.0	0.0	0.0
0.04	-0.12	3	0.032739818	0.09556463	0.064152226
0.04	-0.12	4	0.0	0.0	0.0
0.04	-0.12	5	0.0	0.0	0.0
0.04	-0.12	6	0.0	0.0	0.0
0.04	-0.11	0	0.0	0.0	0.0
0.04	-0.11	1	0.0	0.0	0.0
0.04	-0.11	2	0.0	0.0	0.0
0.04	-0.11	3	0.028607845	0.08300084	0.055804342
0.04	-0.11	4	0.0	0.0	0.0
0.04	-0.11	5	0.0	0.0	0.0
0.04	-0.11	6	0.0	0.0	0.0
0.04	-0.1	0	0.0	0.0	0.0
0.04	-0.1	1	0.0	0.0	0.0
0.04	-0.1	2	0.0	0.0	0.0
0.04	-0.1	3	0.025108457	0.07205346	0.04858096
0.04	-0.1	4	0.0	0.0	0.0
0.04	-0.1	5	0.0	0.0	0.0
0.04	-0.1	6	0.0	0.0	0.0
0.04	-0.09	0	0.0	0.0	0.0
