Feedback_Excitation	Feedback_Inhibition	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.0	-0.15	9	0.06	70.37931034482759	0.13679245283018868
0.0	-0.15	9	0.07	65.34782608695652	0.10849056603773585
0.0	-0.15	9	0.08	63.36842105263158	0.08962264150943396
0.0	-0.15	9	0.09	61.10526315789474	0.08962264150943396
0.0	-0.15	9	0.1	70.9375	0.07547169811320754
0.0	-0.15	9	0.11	61.142857142857146	0.0660377358490566
0.0	-0.15	9	0.12	54.4	0.07075471698113207
0.0	-0.15	9	0.13	65.33333333333333	0.05660377358490566
0.0	-0.15	9	0.14	56.63636363636363	0.05188679245283019
0.0	-0.15	9	0.15	66.33333333333333	0.05660377358490566
0.0	-0.15	10	0	40.85245901639344	0.8632075471698113
0.0	-0.15	10	0.01	42.04624277456647	0.8160377358490566
0.0	-0.15	10	0.02	56.391304347826086	0.7594339622641509
0.0	-0.15	10	0.03	64.18478260869566	0.4339622641509434
0.0	-0.15	10	0.04	70.92727272727272	0.25943396226415094
0.0	-0.15	10	0.05	69.02380952380952	0.19811320754716982
0.0	-0.15	10	0.06	67.96428571428571	0.1320754716981132
0.0	-0.15	10	0.07	68.92	0.1179245283018868
0.0	-0.15	10	0.08	65.64285714285714	0.0660377358490566
0.0	-0.15	10	0.09	68.94117647058823	0.08018867924528301
0.0	-0.15	10	0.1	69.625	0.07547169811320754
0.0	-0.15	10	0.11	62.92857142857143	0.0660377358490566
0.0	-0.15	10	0.12	67.07692307692308	0.06132075471698113
0.0	-0.15	10	0.13	59.833333333333336	0.05660377358490566
0.0	-0.15	10	0.14	63.333333333333336	0.05660377358490566
0.0	-0.15	10	0.15	64.23076923076923	0.06132075471698113
0.0	-0.15	11	0	40.85245901639344	0.8632075471698113
0.0	-0.15	11	0.01	41.15028901734104	0.8160377358490566
0.0	-0.15	11	0.02	56.61349693251534	0.7688679245283019
0.0	-0.15	11	0.03	64.47252747252747	0.42924528301886794
0.0	-0.15	11	0.04	73.01639344262296	0.28773584905660377
0.0	-0.15	11	0.05	71.29268292682927	0.19339622641509435
0.0	-0.15	11	0.06	69.41379310344827	0.13679245283018868
0.0	-0.15	11	0.07	65.10526315789474	0.08962264150943396
0.0	-0.15	11	0.08	62.9	0.09433962264150944
0.0	-0.15	11	0.09	67.25	0.07547169811320754
0.0	-0.15	11	0.1	61.05882352941177	0.08018867924528301
0.0	-0.15	11	0.11	67.28571428571429	0.0660377358490566
0.0	-0.15	11	0.12	69.26666666666667	0.07075471698113207
0.0	-0.15	11	0.13	65.45454545454545	0.05188679245283019
0.0	-0.15	11	0.14	61.90909090909091	0.05188679245283019
0.0	-0.15	11	0.15	65.18181818181819	0.05188679245283019
0.0	-0.15	12	0	40.85245901639344	0.8632075471698113
0.0	-0.15	12	0.01	42.067796610169495	0.8349056603773585
0.0	-0.15	12	0.02	55.07784431137725	0.7877358490566038
0.0	-0.15	12	0.03	62.91111111111111	0.42452830188679247
0.0	-0.15	12	0.04	71.93103448275862	0.27358490566037735
0.0	-0.15	12	0.05	70.07142857142857	0.19811320754716982
0.0	-0.15	12	0.06	69.29629629629629	0.12735849056603774
0.0	-0.15	12	0.07	68.5909090909091	0.10377358490566038
0.0	-0.15	12	0.08	61.36842105263158	0.08962264150943396
0.0	-0.15	12	0.09	63.75	0.07547169811320754
0.0	-0.15	12	0.1	63.46666666666667	0.07075471698113207
0.0	-0.15	12	0.11	62.6875	0.07547169811320754
0.0	-0.15	12	0.12	65.14285714285714	0.0660377358490566
0.0	-0.15	12	0.13	63.916666666666664	0.05660377358490566
0.0	-0.15	12	0.14	67.94117647058823	0.08018867924528301
0.0	-0.15	12	0.15	65.92307692307692	0.06132075471698113
0.0	-0.15	13	0	40.85245901639344	0.8632075471698113
0.0	-0.15	13	0.01	41.95428571428572	0.8254716981132075
0.0	-0.15	13	0.02	56.79141104294479	0.7688679245283019
0.0	-0.15	13	0.03	62.160919540229884	0.41037735849056606
0.0	-0.15	13	0.04	70.12068965517241	0.27358490566037735
0.0	-0.15	13	0.05	70.04347826086956	0.2169811320754717
0.0	-0.15	13	0.06	68.23333333333333	0.14150943396226415
0.0	-0.15	13	0.07	64.18181818181819	0.10377358490566038
0.0	-0.15	13	0.08	65.33333333333333	0.09905660377358491
0.0	-0.15	13	0.09	65.89473684210526	0.08962264150943396
0.0	-0.15	13	0.1	67.875	0.07547169811320754
0.0	-0.15	13	0.11	65.16666666666667	0.05660377358490566
0.0	-0.15	13	0.12	65.61538461538461	0.06132075471698113
0.0	-0.15	13	0.13	57.666666666666664	0.05660377358490566
0.0	-0.15	13	0.14	63.0	0.05660377358490566
0.0	-0.15	13	0.15	63.92307692307692	0.06132075471698113
0.0	-0.15	14	0	40.85245901639344	0.8632075471698113
0.0	-0.15	14	0.01	41.66860465116279	0.8113207547169812
0.0	-0.15	14	0.02	55.81875	0.7547169811320755
0.0	-0.15	14	0.03	62.47872340425532	0.44339622641509435
0.0	-0.15	14	0.04	73.23214285714286	0.2641509433962264
0.0	-0.15	14	0.05	72.6842105263158	0.1792452830188679
0.0	-0.15	14	0.06	69.25	0.1320754716981132
0.0	-0.15	14	0.07	71.48148148148148	0.12735849056603774
0.0	-0.15	14	0.08	61.04761904761905	0.09905660377358491
0.0	-0.15	14	0.09	63.36842105263158	0.08962264150943396
0.0	-0.15	14	0.1	57.4	0.07075471698113207
0.0	-0.15	14	0.11	62.76923076923077	0.06132075471698113
0.0	-0.15	14	0.12	60.76923076923077	0.06132075471698113
0.0	-0.15	14	0.13	61.916666666666664	0.05660377358490566
0.0	-0.15	14	0.14	65.07692307692308	0.06132075471698113
0.0	-0.15	14	0.15	60.166666666666664	0.05660377358490566
0.0	-0.15	15	0	40.85245901639344	0.8632075471698113
0.0	-0.15	15	0.01	41.39884393063584	0.8160377358490566
0.0	-0.15	15	0.02	56.03550295857988	0.7971698113207547
0.0	-0.15	15	0.03	65.11578947368422	0.4481132075471698
0.0	-0.15	15	0.04	72.3	0.2830188679245283
0.0	-0.15	15	0.05	67.91176470588235	0.16037735849056603
0.0	-0.15	15	0.06	68.78787878787878	0.15566037735849056
0.0	-0.15	15	0.07	67.19047619047619	0.09905660377358491
0.0	-0.15	15	0.08	63.5	0.09433962264150944
0.0	-0.15	15	0.09	64.0	0.08018867924528301
0.0	-0.15	15	0.1	60.333333333333336	0.05660377358490566
0.0	-0.15	15	0.11	60.75	0.05660377358490566
0.0	-0.15	15	0.12	72.35714285714286	0.0660377358490566
0.0	-0.15	15	0.13	69.92857142857143	0.0660377358490566
0.0	-0.15	15	0.14	55.72727272727273	0.05188679245283019
0.0	-0.15	15	0.15	57.81818181818182	0.05188679245283019
0.0	-0.14	0	0	40.401069518716575	0.8820754716981132
0.0	-0.14	0	0.01	42.52173913043478	0.8679245283018868
0.0	-0.14	0	0.02	52.87861271676301	0.8160377358490566
0.0	-0.14	0	0.03	64.07476635514018	0.5047169811320755
0.0	-0.14	0	0.04	70.15384615384616	0.30660377358490565
0.0	-0.14	0	0.05	72.68	0.2358490566037736
0.0	-0.14	0	0.06	69.02857142857142	0.1650943396226415
0.0	-0.14	0	0.07	71.1304347826087	0.10849056603773585
0.0	-0.14	0	0.08	65.05263157894737	0.08962264150943396
0.0	-0.14	0	0.09	67.66666666666667	0.08490566037735849
0.0	-0.14	0	0.1	68.94736842105263	0.08962264150943396
0.0	-0.14	0	0.11	63.42857142857143	0.0660377358490566
0.0	-0.14	0	0.12	70.125	0.07547169811320754
0.0	-0.14	0	0.13	66.76923076923077	0.06132075471698113
0.0	-0.14	0	0.14	68.21428571428571	0.0660377358490566
0.0	-0.14	0	0.15	59.30769230769231	0.06132075471698113
0.0	-0.14	1	0	40.401069518716575	0.8820754716981132
0.0	-0.14	1	0.01	42.73076923076923	0.8584905660377359
0.0	-0.14	1	0.02	54.293103448275865	0.8207547169811321
0.0	-0.14	1	0.03	63.074074074074076	0.5094339622641509
0.0	-0.14	1	0.04	70.53030303030303	0.3113207547169811
0.0	-0.14	1	0.05	69.06976744186046	0.2028301886792453
0.0	-0.14	1	0.06	73.89189189189189	0.17452830188679244
0.0	-0.14	1	0.07	64.6086956521739	0.10849056603773585
0.0	-0.14	1	0.08	69.92	0.1179245283018868
0.0	-0.14	1	0.09	70.88888888888889	0.08490566037735849
0.0	-0.14	1	0.1	66.78947368421052	0.08962264150943396
0.0	-0.14	1	0.11	60.15384615384615	0.06132075471698113
0.0	-0.14	1	0.12	68.5	0.0660377358490566
0.0	-0.14	1	0.13	57.07692307692308	0.06132075471698113
0.0	-0.14	1	0.14	67.78571428571429	0.0660377358490566
0.0	-0.14	1	0.15	64.92307692307692	0.06132075471698113
