NPhone_Decay	WtoW_Weight	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.15	0.0	3	0.07	55.75	0.11320754716981132
0.15	0.0	3	0.08	56.8235294117647	0.08018867924528301
0.15	0.0	3	0.09	60.0	0.07547169811320754
0.15	0.0	3	0.1	64.46153846153847	0.06132075471698113
0.15	0.0	3	0.11	62.22222222222222	0.04245283018867924
0.15	0.0	3	0.12	68.0	0.0330188679245283
0.15	0.0	3	0.13	44.333333333333336	0.014150943396226415
0.15	0.0	3	0.14	17.0	0.009433962264150943
0.15	0.0	3	0.15	45.0	0.014150943396226415
0.15	0.0	4	0	38.08612440191388	0.9858490566037735
0.15	0.0	4	0.01	40.816326530612244	0.9245283018867925
0.15	0.0	4	0.02	49.02958579881657	0.7971698113207547
0.15	0.0	4	0.03	53.47826086956522	0.5424528301886793
0.15	0.0	4	0.04	57.10588235294118	0.4009433962264151
0.15	0.0	4	0.05	58.022222222222226	0.21226415094339623
0.15	0.0	4	0.06	58.26470588235294	0.16037735849056603
0.15	0.0	4	0.07	61.03846153846154	0.12264150943396226
0.15	0.0	4	0.08	55.22222222222222	0.08490566037735849
0.15	0.0	4	0.09	60.4375	0.07547169811320754
0.15	0.0	4	0.1	64.61538461538461	0.06132075471698113
0.15	0.0	4	0.11	63.666666666666664	0.04245283018867924
0.15	0.0	4	0.12	60.4	0.02358490566037736
0.15	0.0	4	0.13	45.666666666666664	0.014150943396226415
0.15	0.0	4	0.14	31.333333333333332	0.014150943396226415
0.15	0.0	4	0.15	45.666666666666664	0.014150943396226415
0.15	0.0	5	0	38.08612440191388	0.9858490566037735
0.15	0.0	5	0.01	41.03061224489796	0.9245283018867925
0.15	0.0	5	0.02	48.93491124260355	0.7971698113207547
0.15	0.0	5	0.03	52.06422018348624	0.5141509433962265
0.15	0.0	5	0.04	57.0	0.4056603773584906
0.15	0.0	5	0.05	58.0	0.22641509433962265
0.15	0.0	5	0.06	58.18181818181818	0.15566037735849056
0.15	0.0	5	0.07	58.84	0.1179245283018868
0.15	0.0	5	0.08	56.94444444444444	0.08490566037735849
0.15	0.0	5	0.09	59.5625	0.07547169811320754
0.15	0.0	5	0.1	66.8	0.07075471698113207
0.15	0.0	5	0.11	63.888888888888886	0.04245283018867924
0.15	0.0	5	0.12	50.8	0.02358490566037736
0.15	0.0	5	0.13	51.25	0.018867924528301886
0.15	0.0	5	0.14	14.5	0.009433962264150943
0.15	0.0	5	0.15	44.0	0.014150943396226415
0.15	0.0	6	0	38.08612440191388	0.9858490566037735
0.15	0.0	6	0.01	40.92857142857143	0.9245283018867925
0.15	0.0	6	0.02	49.05357142857143	0.7924528301886793
0.15	0.0	6	0.03	51.788990825688074	0.5141509433962265
0.15	0.0	6	0.04	57.35227272727273	0.41509433962264153
0.15	0.0	6	0.05	59.577777777777776	0.21226415094339623
0.15	0.0	6	0.06	59.125	0.1509433962264151
0.15	0.0	6	0.07	57.291666666666664	0.11320754716981132
0.15	0.0	6	0.08	56.588235294117645	0.08018867924528301
0.15	0.0	6	0.09	58.1764705882353	0.08018867924528301
0.15	0.0	6	0.1	61.42857142857143	0.0660377358490566
0.15	0.0	6	0.11	59.666666666666664	0.02830188679245283
0.15	0.0	6	0.12	67.5	0.03773584905660377
0.15	0.0	6	0.13	40.666666666666664	0.014150943396226415
0.15	0.0	6	0.14	49.333333333333336	0.014150943396226415
0.15	0.0	6	0.15	13.0	0.009433962264150943
0.15	0.0	7	0	38.08612440191388	0.9858490566037735
0.15	0.0	7	0.01	40.95384615384615	0.9198113207547169
0.15	0.0	7	0.02	48.82941176470588	0.8018867924528302
0.15	0.0	7	0.03	52.369369369369366	0.5235849056603774
0.15	0.0	7	0.04	56.83529411764706	0.4009433962264151
0.15	0.0	7	0.05	59.361702127659576	0.22169811320754718
0.15	0.0	7	0.06	59.03030303030303	0.15566037735849056
0.15	0.0	7	0.07	56.916666666666664	0.11320754716981132
0.15	0.0	7	0.08	56.888888888888886	0.08490566037735849
0.15	0.0	7	0.09	60.25	0.07547169811320754
0.15	0.0	7	0.1	59.30769230769231	0.06132075471698113
0.15	0.0	7	0.11	63.0	0.04716981132075472
0.15	0.0	7	0.12	53.2	0.02358490566037736
0.15	0.0	7	0.13	41.666666666666664	0.014150943396226415
0.15	0.0	7	0.14	40.666666666666664	0.014150943396226415
0.15	0.0	7	0.15	26.5	0.009433962264150943
0.15	0.0	8	0	38.08612440191388	0.9858490566037735
0.15	0.0	8	0.01	41.01020408163265	0.9245283018867925
