Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.15	69	0.49849656	0.0	0.0	0.4986828	5.5344317e-05	2.6272464e-05	3.697254e-05	7.535286e-05
0.0	-0.15	70	0.49836057	0.0	0.0	0.49875253	4.6867888e-05	2.1503452e-05	3.0533407e-05	6.5382854e-05
0.0	-0.15	71	0.49821445	0.0	0.0	0.49881864	3.9695668e-05	1.7583432e-05	2.519637e-05	5.6759334e-05
0.0	-0.15	72	0.49805868	0.0	0.0	0.49888122	3.362665e-05	1.4364596e-05	2.0776575e-05	4.9296985e-05
0.0	-0.15	73	0.49789375	0.0	0.0	0.49894053	2.8490736e-05	1.1724211e-05	1.711944e-05	4.283641e-05
0.0	-0.15	74	0.49772006	0.0	0.0	0.4989967	2.414403e-05	9.560488e-06	1.4095811e-05	3.724048e-05
0.0	-0.15	75	0.4975381	0.0	0.0	0.49904996	2.0464817e-05	7.789123e-06	1.1597933e-05	3.2391163e-05
0.0	-0.15	76	0.4973483	0.0	0.0	0.4991004	1.7350161e-05	6.340369e-06	9.536004e-06	2.8186838e-05
0.0	-0.15	77	0.49715108	0.0	0.0	0.49914813	1.4712799e-05	5.1566003e-06	7.8352505e-06	2.4539966e-05
0.0	-0.15	78	0.49694678	0.0	0.0	0.49919337	1.2479058e-05	4.1902613e-06	6.433469e-06	2.1375114e-05
0.0	-0.15	79	0.49673587	0.0	0.0	0.49923623	1.058674e-05	3.4021534e-06	5.2789637e-06	1.8627246e-05
0.0	-0.15	80	0.49651867	0.0	0.0	0.49927682	8.983206e-06	2.7599976e-06	4.3288082e-06	1.6240278e-05
0.0	-0.15	81	0.49629557	0.0	0.0	0.49931526	7.6240385e-06	2.2372437e-06	3.5473943e-06	1.4165811e-05
0.0	-0.15	82	0.49606693	0.0	0.0	0.49935165	6.471691e-06	1.8120753e-06	2.905206e-06	1.23620675e-05
0.0	-0.15	83	0.4958331	0.0	0.0	0.49938613	5.4944417e-06	1.4665839e-06	2.3778023e-06	1.0792966e-05
0.0	-0.15	84	0.4955944	0.0	0.0	0.4994188	4.665493e-06	1.186084e-06	1.94496e-06	9.427333e-06
0.0	-0.15	85	0.49535117	0.0	0.0	0.4994497	3.962193e-06	9.585451e-07	1.5899612e-06	8.2382185e-06
0.0	-0.15	86	0.49510372	0.0	0.0	0.499479	3.3653828e-06	7.741221e-07	1.298996e-06	7.2023163e-06
0.0	-0.15	87	0.49485236	0.0	0.0	0.4995067	2.858849e-06	6.2476636e-07	1.0606672e-06	6.2994623e-06
0.0	-0.15	88	0.4945974	0.0	0.0	0.49953294	2.4288663e-06	5.039051e-07	8.655751e-07	5.5122005e-06
0.0	-0.15	89	0.49433914	0.0	0.0	0.49955776	2.06381e-06	4.0617627e-07	7.0597446e-07	4.825414e-06
0.0	-0.15	90	0.49407786	0.0	0.0	0.49958128	1.7538316e-06	3.272101e-07	5.754876e-07	4.226005e-06
0.0	-0.15	91	0.4938138	0.0	0.0	0.49960357	1.4905854e-06	2.6344918e-07	4.6886709e-07	3.702618e-06
0.0	-0.15	92	0.4935473	0.0	0.0	0.49962467	1.2669967e-06	2.1200024e-07	3.8179851e-07	3.2454054e-06
0.0	-0.15	93	0.4932786	0.0	0.0	0.49964464	1.077067e-06	1.7051254e-07	3.107372e-07	2.845822e-06
0.0	-0.15	94	0.49300787	0.0	0.0	0.49966353	9.157051e-07	1.3707722e-07	2.5277285e-07	2.4964502e-06
0.0	-0.15	95	0.49273548	0.0	0.0	0.49968147	7.7859437e-07	1.1014677e-07	2.055178e-07	2.1908463e-06
0.0	-0.15	96	0.49246156	0.0	0.0	0.4996984	6.6207497e-07	8.8467566e-08	1.670143e-07	1.9234124e-06
0.0	-0.15	97	0.49218637	0.0	0.0	0.49971446	5.630423e-07	7.102487e-08	1.3565835e-07	1.6892811e-06
0.0	-0.15	98	0.4919101	0.0	0.0	0.49972966	4.7886243e-07	5.6997933e-08	1.1013651e-07	1.4842143e-06
0.0	-0.15	99	0.491633	0.0	0.0	0.49974406	4.0730015e-07	4.572334e-08	8.937401e-08	1.3045227e-06
0.0	-0.14	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.14	1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
0.0	-0.14	2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
0.0	-0.14	3	0.24399999	0.0	0.0	0.24399999	0.0	0.0	0.0	0.0
0.0	-0.14	4	0.2952	0.0	0.0	0.2952	0.0	0.0	0.0	0.0
0.0	-0.14	5	0.33615997	0.0	0.0	0.33615997	0.0	0.0	0.0	0.0
0.0	-0.14	6	0.36892796	0.0	0.0	0.36892796	0.0	0.0	0.0	0.0
0.0	-0.14	7	0.39514235	0.0	0.0	0.39514235	0.0	0.0	0.0	0.0
0.0	-0.14	8	0.41611385	0.0	0.0	0.41611385	0.0	0.0	0.0	0.0
0.0	-0.14	9	0.43289107	0.0	0.0	0.43289107	0.0	0.0	0.0	0.0
0.0	-0.14	10	0.44631284	0.0	0.0	0.44631284	0.1	0.1	0.1	0.1
0.0	-0.14	11	0.45705026	0.0	0.0	0.45705026	0.18	0.18	0.18	0.18
0.0	-0.14	12	0.4656402	0.0	0.0	0.4656402	0.2403264	0.23745641	0.2403264	0.23745641
0.0	-0.14	13	0.47251213	0.0	0.0	0.47251213	0.28512794	0.28025395	0.28512794	0.28025395
0.0	-0.14	14	0.47800967	0.0	0.0	0.47799948	0.25289497	0.24754572	0.25289497	0.24754572
0.0	-0.14	15	0.4823994	0.0	0.0	0.4823061	0.22356665	0.21783936	0.22356665	0.21783936
0.0	-0.14	16	0.4859006	0.0	0.0	0.48563182	0.19730483	0.19133398	0.19730483	0.19133398
0.0	-0.14	17	0.48869348	0.0	0.0	0.48816302	0.17388232	0.1677907	0.17388232	0.1677907
0.0	-0.14	18	0.49092448	0.0	0.0	0.4900655	0.15305293	0.14694269	0.15305293	0.14694269
0.0	-0.14	19	0.49271092	0.0	0.0	0.49148005	0.13457191	0.12852412	0.13457191	0.12852412
0.0	-0.14	20	0.4941416	0.0	0.0	0.49251774	0.11820991	0.1122886	0.11820991	0.1122886
0.0	-0.14	21	0.49528763	0.0	0.0	0.4932654	0.103752196	0.09800717	0.103752196	0.09800717
0.0	-0.14	22	0.49620575	0.0	0.0	0.4937947	0.090999566	0.08546778	0.090999566	0.08546778
0.0	-0.14	23	0.4969415	0.0	0.0	0.49416173	0.07967212	0.07437819	0.07967212	0.07437819
0.0	-0.14	24	0.4975176	0.0	0.0	0.49434876	0.06959447	0.06456085	0.06959447	0.06456085
0.0	-0.14	25	0.4978951	0.0	0.0	0.4943311	0.060650762	0.055895183	0.060650762	0.055895183
0.0	-0.14	26	0.49809077	0.0	0.0	0.49415362	0.05274566	0.048280485	0.05274566	0.048280485
0.0	-0.14	27	0.4981455	0.0	0.0	0.4938666	0.045818865	0.04165409	0.045818865	0.04165409
