Location	Noise	Cycle	Activation
0	0.4	98	0.24565001
0	0.4	99	0.2088025
0	0.5	0	0.0
0	0.5	1	0.0
0	0.5	2	0.0
0	0.5	3	0.0
0	0.5	4	0.1
0	0.5	5	0.17500001
0	0.5	6	0.23125002
0	0.5	7	0.2734375
0	0.5	8	0.30507812
0	0.5	9	0.3288086
0	0.5	10	0.34660646
0	0.5	11	0.35995486
0	0.5	12	0.36996615
0	0.5	13	0.37747464
0	0.5	14	0.38310596
0	0.5	15	0.3873295
0	0.5	16	0.39049712
0	0.5	17	0.39287284
0	0.5	18	0.39465466
0	0.5	19	0.395991
0	0.5	20	0.39699325
0	0.5	21	0.39774495
0	0.5	22	0.3983087
0	0.5	23	0.39873153
0	0.5	24	0.39904866
0	0.5	25	0.3992865
0	0.5	26	0.3994649
0	0.5	27	0.3995987
0	0.5	28	0.399699
0	0.5	29	0.39977425
0	0.5	30	0.3998307
0	0.5	31	0.39987305
0	0.5	32	0.3999048
0	0.5	33	0.3999286
0	0.5	34	0.39994645
0	0.5	35	0.39995983
0	0.5	36	0.3999699
0	0.5	37	0.39997745
0	0.5	38	0.39998308
0	0.5	39	0.3999873
0	0.5	40	0.39999047
0	0.5	41	0.39999285
0	0.5	42	0.39999464
0	0.5	43	0.39999598
0	0.5	44	0.399997
0	0.5	45	0.39999777
0	0.5	46	0.39999834
0	0.5	47	0.39999875
0	0.5	48	0.39999908
0	0.5	49	0.39999932
0	0.5	50	0.3999995
0	0.5	51	0.39999962
0	0.5	52	0.3999997
0	0.5	53	0.3999998
0	0.5	54	0.39999983
0	0.5	55	0.39999986
0	0.5	56	0.3999999
0	0.5	57	0.39999992
0	0.5	58	0.39999995
0	0.5	59	0.39999998
0	0.5	60	0.4
0	0.5	61	0.4
0	0.5	62	0.4
0	0.5	63	0.4
0	0.5	64	0.4
0	0.5	65	0.4
0	0.5	66	0.4
0	0.5	67	0.4
0	0.5	68	0.4
0	0.5	69	0.4
0	0.5	70	0.4
0	0.5	71	0.4
0	0.5	72	0.4
0	0.5	73	0.4
0	0.5	74	0.4
0	0.5	75	0.4
0	0.5	76	0.4
0	0.5	77	0.4
0	0.5	78	0.4
0	0.5	79	0.4
0	0.5	80	0.4
0	0.5	81	0.4
0	0.5	82	0.4
0	0.5	83	0.4
0	0.5	84	0.4
0	0.5	85	0.4
0	0.5	86	0.4
0	0.5	87	0.4
0	0.5	88	0.4
0	0.5	89	0.4
0	0.5	90	0.4
0	0.5	91	0.4
0	0.5	92	0.4
0	0.5	93	0.4
0	0.5	94	0.4
