TARGET	LEX	AWP	AGSD	LUCEK	ACT	AccType	Acc	RT	RTlength	Length	UP	RTup	TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
badi	slex	0.3	0	20	Activation	Abz	1	47	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Activation	Diff	1	45	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Activation	CDiff	1	59	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Probability	Peak	1	98	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Probability	Max	1	35	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Probability	Abz	1	47	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Probability	Diff	1	39	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
badi	slex	0.3	0	20	Probability	CDiff	1	48	29	4	3	6	badi	7	2	1	2	2	1	2	1	4	0	0	2
baks	slex	0.3	0	20	Activation	Peak	1	100	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Activation	Max	1	31	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Activation	Abz	1	42	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Activation	Diff	1	43	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Activation	CDiff	1	55	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Probability	Peak	1	100	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Probability	Max	1	31	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Probability	Abz	1	43	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Probability	Diff	1	37	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
baks	slex	0.3	0	20	Probability	CDiff	1	45	29	4	3	6	baks	7	1	1	1	1	1	2	1	4	0	0	1
bark	slex	0.3	0	20	Activation	Peak	1	100	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Activation	Max	1	41	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Activation	Abz	1	47	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Activation	Diff	1	46	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Activation	CDiff	1	61	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Probability	Peak	1	100	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Probability	Max	1	41	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Probability	Abz	1	50	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bark	slex	0.3	0	20	Probability	Diff	1	42	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
